Tackles_TotalTackles,Tackles_DribbledPast,Tackles_TotalAttemptedTackles,Interception_Total,Fouls_Fouled,Fouls_Fouls,Cards_Yellow,Cards_Red,OffSides_CaughtOffside,Clearances_Total,Blocks_ShotsBlocked,Blocks_CrossesBlocked,Blocks_PassesBlocked,Saves_Total,Saves_SixYardBox,Saves_PenaltyArea,Saves_OutOfBox,Rating
Paris Saint-Germain_2019,18.4,9,27.5,9,11.7,12.05,1.7,0.1,2.4,12.9,2.5,1.4,6.4,2.6,0.2,1.2,1.2,7.05
Lyon_2019,16.8,6.9,23.6,9.6,12.3,11.7,1.4,0.1,2.5,16.1,3.6,2,7.1,2.8,0.2,1.4,1.2,6.91
Lille_2019,16.5,8.4,24.9,10.2,13.4,12.6,1.8,0.1,1,17.9,2.8,2.3,7.1,2.4,0.1,1.4,0.9,6.84
Montpellier_2019,20,9.8,29.8,12.8,12.6,14.1,1.6,0.1,1.5,18.6,2.8,1.7,8.1,2.7,0.1,1.4,1.2,6.81
Saint-Etienne_2019,17.7,9.3,27,11.6,12,11.9,1.6,0.2,1.6,19.3,2.6,1.6,6.9,3,0.1,1.8,1.1,6.78
Marseille_2019,20.5,10,30.5,10.6,12,13.2,2.2,0.2,1.2,17,2.6,1.5,6.5,2.3,0.1,1.3,0.9,6.78
Nice_2019,17.4,8.7,26.1,11.8,13.6,11.2,1.9,0.1,1.1,19.3,2.8,1.6,8,3.2,0.2,1.8,1.2,6.76
Nimes_2019,19.3,11.4,30.6,11.7,13,12.8,1.8,0.1,1.1,20.4,3.1,1.9,6.8,3.2,0.2,1.9,1.1,6.75
Rennes_2019,17.2,9.4,26.6,10.2,12.8,12.9,1.7,0.1,1.6,19.2,3.1,1.5,7.5,2.8,0.1,1.6,1.1,6.73
Strasbourg_2019,17.1,8.2,25.3,11.3,10.6,13.5,1.8,0.1,1.1,18.4,3.3,1.8,6.5,2.7,0.1,1.5,1.1,6.73
Reims_2019,20,9.4,29.3,12.8,12.3,14,1.8,0.1,2.1,21.5,2.9,2.2,6.6,2.9,0.1,1.4,1.4,6.72
Nantes_2019,20.2,9.7,29.9,11.4,13.1,13,1.8,0.2,2,20.7,2.8,1.7,7.3,2.2,0.1,1.3,0.8,6.71
Angers_2019,17.7,9.6,27.3,11.1,11.7,11.8,1.3,0.1,1.3,21.7,2.9,1.9,7.7,3.1,0.2,2,0.9,6.70
Bordeaux_2019,18.9,9.7,28.7,10.3,13.1,14.3,2,0.1,1.6,23.9,3,1.8,7.4,2.9,0.1,1.6,1.2,6.67
Toulouse_2019,17.6,8.3,25.9,10.1,12.3,14.7,1.9,0.1,1.8,23,3.3,2.4,8.1,3.2,0.1,1.8,1.3,6.62
Monaco_2019,18.1,9.4,27.5,10.2,13.3,13.9,2.3,0.2,1.4,20.8,2.3,1.6,6.5,2.4,0.1,1.4,0.9,6.61
Dijon_2019,17.7,10.1,27.8,12.7,11.7,15.1,1.9,0.2,1.6,20.2,3.1,1.9,7.8,2.9,0.1,1.6,1.3,6.59
Caen_2019,18.7,8.7,27.3,12.9,13.2,14.7,2,0.2,1.3,23.4,3.7,1.8,6.9,3.7,0.2,2.1,1.4,6.59
Amiens_2019,16.6,9.3,26,10.3,13.7,13.7,1.5,0.2,1.7,21.4,3.7,1.8,6.5,3.1,0.1,1.7,1.2,6.57
Guingamp_2019,18,7.3,25.3,11,12.2,12.8,1.5,0.1,1.4,18.7,2.9,2.1,8,2.7,0.1,1.4,1.3,6.55
Paris Saint-Germain_2018,27,7.16,27,7.16,13,11.2,1.6,0.2,2.4,14.4,2.6,2.1,5.9,2.4,0.1,1.4,0.9,7.16
Lyon_2018,16.9,9.8,26.7,11.9,13.9,12.5,1.9,0.1,2.1,20.4,2.7,2.7,6.5,2.9,0.1,1.6,1.3,07.04
Marseille_2018,19.4,12,31.4,11.6,12.5,13.1,2.1,0.1,2.1,18.7,2.7,2.3,7.3,2.5,0.2,1.3,1.1,6.99
Monaco_2018,18.9,11.5,30.4,13.1,13.6,13.4,1.8,0.1,1.9,24.5,2.8,2.1,7.6,2.7,0.1,1.3,1.3,6.94
Montpellier_2018,17.9,9.5,27.4,13.2,13.9,11.8,1.9,0,2.2,21.5,2.6,2.1,6.5,2.2,0.1,1.2,0.9,6.78
Nice_2018,15.5,9.1,24.6,11.4,14,11.7,2.1,0.1,1.7,15.8,3,2.6,6.7,2.8,0.1,1.4,1.2,6.77
Bordeaux_2018,18.4,11.5,29.9,12.2,12.4,14,1.9,0.1,2,20.7,2.9,2.1,6.4,2.2,0,1,1.2,6.77
Rennes_2018,17.3,12.7,30.1,10.9,13.8,12.6,1.6,0.1,2.3,24.5,2.3,2.7,8.3,2.8,0.2,1.6,1,6.75
Saint-Etienne_2018,17.8,11.5,29.4,10.6,12.9,13.4,1.9,0.2,2.4,22.5,3.2,3.2,7.4,3.4,0.2,2,1.2,6.74
Nantes_2018,19.9,10.2,30.1,11.2,10.8,12.9,1.6,0.1,2.2,25.7,3.6,2.7,9.4,2.6,0.2,1.4,1.1,6.72
Guingamp_2018,16.8,11.6,28.5,12.5,13.6,13.1,1.7,0.1,2.6,24,3.2,2.1,6.5,3,0.1,1.5,1.4,6.72
Dijon_2018,18,11.5,29.5,14.3,12.4,12.9,1.8,0.1,1.9,23.4,3.1,2.6,7,3.4,0.1,1.9,1.5,6.71
Amiens_2018,17.3,10,27.3,13.7,12.1,13.3,1.8,0.1,1.8,27.7,4.3,2.5,7.4,3.6,0.2,1.7,1.7,6.71
Toulouse_2018,18.4,10.7,29.1,12.6,13,15.5,2.5,0.1,2,22.4,2.7,2.4,7.7,2.8,0.1,1.6,1.1,6.68
Lille_2018,17.9,9.9,27.9,12.9,11.3,12.7,1.6,0.2,2.3,19.3,2.8,1.5,7.2,3.2,0.1,1.9,1.2,6.66
Caen_2018,19.2,12.3,31.5,12.6,11.4,13.8,1.8,0.1,2,23.6,2.6,2.1,9.3,2.7,0,1.5,1.2,6.65
Strasbourg_2018,19.7,11,30.7,13.5,11.5,13.8,1.9,0.1,2,21.3,2.4,2.1,7.1,2.8,0.2,1.5,1.1,6.65
Angers_2018,17.4,13.7,31.1,10.8,11.5,12.9,1.8,0.1,1.6,20.3,2.1,2.4,8.4,2.4,0.1,1.3,1,6.62
Metz_2018,18.6,11.3,29.9,13.4,11.4,14,2,0.2,1.5,20.4,2.5,2.1,7.4,3.5,0.3,1.8,1.4,6.59
Troyes_2018,17.2,11.8,29.1,11.5,10.2,13,1.9,0.2,1.7,26.6,3.4,2.6,6.8,3.6,0.1,1.8,1.6,6.59
