Tackles_TotalTackles,Tackles_DribbledPast,Tackles_TotalAttemptedTackles,Interception_Total,Fouls_Fouled,Fouls_Fouls,Cards_Yellow,Cards_Red,OffSides_CaughtOffside,Clearances_Total,Blocks_ShotsBlocked,Blocks_CrossesBlocked,Blocks_PassesBlocked,Saves_Total,Saves_SixYardBox,Saves_PenaltyArea,Saves_OutOfBox,Rating
Paris Saint-Germain,18.4,9,27.5,9,11.7,12.05,1.7,0.1,2.4,12.9,2.5,1.4,6.4,2.6,0.2,1.2,1.2,7.05
Lyon,16.8,6.9,23.6,9.6,12.3,11.7,1.4,0.1,2.5,16.1,3.6,2,7.1,2.8,0.2,1.4,1.2,6.91
Lille,16.5,8.4,24.9,10.2,13.4,12.6,1.8,0.1,1,17.9,2.8,2.3,7.1,2.4,0.1,1.4,0.9,6.84
Montpellier,20,9.8,29.8,12.8,12.6,14.1,1.6,0.1,1.5,18.6,2.8,1.7,8.1,2.7,0.1,1.4,1.2,6.81
Saint-Etienne,17.7,9.3,27,11.6,12,11.9,1.6,0.2,1.6,19.3,2.6,1.6,6.9,3,0.1,1.8,1.1,6.78
Marseille,20.5,10,30.5,10.6,12,13.2,2.2,0.2,1.2,17,2.6,1.5,6.5,2.3,0.1,1.3,0.9,6.78
Nice,17.4,8.7,26.1,11.8,13.6,11.2,1.9,0.1,1.1,19.3,2.8,1.6,8,3.2,0.2,1.8,1.2,6.76
Nimes,19.3,11.4,30.6,11.7,13,12.8,1.8,0.1,1.1,20.4,3.1,1.9,6.8,3.2,0.2,1.9,1.1,6.75
Rennes,17.2,9.4,26.6,10.2,12.8,12.9,1.7,0.1,1.6,19.2,3.1,1.5,7.5,2.8,0.1,1.6,1.1,6.73
Strasbourg,17.1,8.2,25.3,11.3,10.6,13.5,1.8,0.1,1.1,18.4,3.3,1.8,6.5,2.7,0.1,1.5,1.1,6.73
Reims,20,9.4,29.3,12.8,12.3,14,1.8,0.1,2.1,21.5,2.9,2.2,6.6,2.9,0.1,1.4,1.4,6.72
Nantes,20.2,9.7,29.9,11.4,13.1,13,1.8,0.2,2,20.7,2.8,1.7,7.3,2.2,0.1,1.3,0.8,6.71
Angers,17.7,9.6,27.3,11.1,11.7,11.8,1.3,0.1,1.3,21.7,2.9,1.9,7.7,3.1,0.2,2,0.9,6.70
Bordeaux,18.9,9.7,28.7,10.3,13.1,14.3,2,0.1,1.6,23.9,3,1.8,7.4,2.9,0.1,1.6,1.2,6.67
Toulouse,17.6,8.3,25.9,10.1,12.3,14.7,1.9,0.1,1.8,23,3.3,2.4,8.1,3.2,0.1,1.8,1.3,6.62
Monaco,18.1,9.4,27.5,10.2,13.3,13.9,2.3,0.2,1.4,20.8,2.3,1.6,6.5,2.4,0.1,1.4,0.9,6.61
Dijon,17.7,10.1,27.8,12.7,11.7,15.1,1.9,0.2,1.6,20.2,3.1,1.9,7.8,2.9,0.1,1.6,1.3,6.59
Caen,18.7,8.7,27.3,12.9,13.2,14.7,2,0.2,1.3,23.4,3.7,1.8,6.9,3.7,0.2,2.1,1.4,6.59
Amiens,16.6,9.3,26,10.3,13.7,13.7,1.5,0.2,1.7,21.4,3.7,1.8,6.5,3.1,0.1,1.7,1.2,6.57
Guingamp,18,7.3,25.3,11,12.2,12.8,1.5,0.1,1.4,18.7,2.9,2.1,8,2.7,0.1,1.4,1.3,6.55
